V1	V2
XP_015747107.1	GO:0032580;GO:0016021;GO:0008376;GO:0033842
XP_015747109.1	GO:0015030;GO:0005737;GO:0005829;GO:0005783;GO:0016020;GO:0005634;GO:0005525;GO:0003924;GO:0051168;GO:0015031;GO:0042254
XP_015747111.1	GO:0005730;GO:0044822;GO:0009383;GO:0000470;GO:0008284;GO:0070475;GO:0003723;GO:0006412
XP_015747112.1	GO:0005730;GO:0048471;GO:0016874;GO:0005057;GO:0061630;GO:0008270;GO:0006915;GO:0008283;GO:0032688;GO:0010804;GO:0007165;GO:0000151;GO:0004842;GO:0016567;GO:0010992
XP_015747116.1	GO:0000139;GO:0005730;GO:0005654;GO:0005634;GO:0046872;GO:0003714;GO:0003700;GO:0008283;GO:0030851;GO:0008285;GO:0045820;GO:0045892;GO:0032436;GO:1903715;GO:0001666;GO:0006351;GO:0006355
XP_015747120.1	GO:0005576;GO:0016020;GO:0052689;GO:0016042
XP_015747122.1	GO:0008113;GO:0048102;GO:0034599;GO:0008340;GO:0048812;GO:0030091;GO:0006979;GO:0035071;GO:0000096
XP_015747126.1	GO:0005524;GO:0004674;GO:0060271;GO:0022038;GO:0003351;GO:0000226;GO:0046328;GO:0043408;GO:2001222;GO:0010975;GO:1900744;GO:0090036;GO:0021591;GO:0004672;GO:0006468;GO:0004713;GO:0047322
XP_015747130.1	GO:0030424;GO:0044297;GO:0070062;GO:0005887;GO:0005886;GO:0043234;GO:0005524;GO:0042802;GO:0004713;GO:0004714;GO:0000187;GO:0048666;GO:0016310;GO:0046777;GO:0007169
XP_015747141.1	GO:0005576;GO:0019835;GO:0019836;GO:0009405
XP_015747151.1	GO:0005737;GO:0030425;GO:0005665;GO:0043231;GO:0005739;GO:0005634;GO:0003682;GO:0019212;GO:0051219;GO:0004864;GO:0001106;GO:0071363;GO:0071383;GO:2001243;GO:0010923;GO:0000122;GO:0001558;GO:0006357;GO:0009615;GO:0006351
XP_015747154.1	GO:0080008;GO:0005737;GO:0016363;GO:0005654;GO:0043234;GO:0007275;GO:0016567
XP_015747155.1	GO:0008061;GO:0004568;GO:0006032;GO:0000272;GO:0008152;GO:0016787;GO:0008843
XP_015747161.1	GO:0005654;GO:0044212;GO:0071300;GO:1900218;GO:1900212;GO:2000611;GO:0045893;GO:0039003;GO:0039020;GO:0048793;GO:0042981;GO:0035565;GO:0007367;GO:0006351;GO:0001655
XP_015747162.1	GO:0005762;GO:0003735;GO:0006412;GO:0005622;GO:0005840
XP_015747177.1	GO:0005737;GO:0010494;GO:0030529;GO:0005730;GO:0042802;GO:0000166;GO:0003697;GO:0003727;GO:0032197
XP_015747181.1	GO:0005737;GO:0005634;GO:0005839;GO:0004298;GO:0051603
XP_015747182.1	GO:0016021;GO:0005743;GO:0005739;GO:0003735;GO:0006412;GO:0055085
XP_015747184.1	GO:0016021;GO:0005634;GO:0005886;GO:0004977;GO:0004980;GO:0042923;GO:0017046;GO:0031625;GO:0007188;GO:0002024;GO:0006112;GO:0007631;GO:0030073;GO:2000252;GO:0045780;GO:0030819;GO:2000821;GO:0032868
XP_015747185.1	GO:0016021;GO:0005886;GO:0005524;GO:0046872;GO:0004714;GO:0007275;GO:0004672;GO:0006468;GO:0004713;GO:0004674
XP_015747186.1	GO:0005737;GO:0005576;GO:0005615;GO:0008061;GO:0004568;GO:0006915;GO:0006032;GO:0002376;GO:0000272;GO:0090197;GO:0002532;GO:0008152;GO:0016787;GO:0003824;GO:0005975;GO:0008843
XP_015747188.1	GO:0005576;GO:0008061;GO:0004568;GO:0006032;GO:0000272
XP_015747191.1	GO:0016021;GO:0005886;GO:0008502
XP_015747193.1	GO:0005887;GO:0008502;GO:0007166;GO:0007623
XP_015747197.1	GO:0005739;GO:0004602;GO:0004364;GO:0016034;GO:0042803;GO:0006749;GO:0006559;GO:0006572
XP_015747198.1	GO:0030424;GO:0005737;GO:0005829;GO:0005871;GO:0005874;GO:0005902;GO:0033270;GO:0071889;GO:0005524;GO:0016887;GO:0003777;GO:0019901;GO:0030705;GO:0007018;GO:0006605;GO:0050770;GO:0007165;GO:0042110
XP_015747200.1	GO:0005737;GO:0005524;GO:0004594;GO:0015937
XP_015747201.1	GO:0005581;GO:0005576;GO:0031232;GO:0030246;GO:0046872;GO:0008329;GO:0002752;GO:0007186;GO:0045087;GO:2000484;GO:0005737;GO:0006817
XP_015747203.1	GO:0003676;GO:0006397
XP_015747206.1	GO:0005856;GO:0005829;GO:0034709;GO:0005634;GO:0034715;GO:0005886;GO:0006884;GO:0006821;GO:0000387
XP_015747207.1	GO:0005737;GO:0070062;GO:0002177;GO:0031514;GO:0036126;GO:0005516;GO:0030544;GO:0007288;GO:0007286
XP_015747208.1	GO:0005737;GO:0002177;GO:0031514;GO:0036126;GO:0005516;GO:0007288;GO:0007286
XP_015747209.1	GO:0005768;GO:0010008;GO:0070062;GO:0005887;GO:0006810
