emblId	Go_terms
ENSDARG00000000002	GO:0001756;GO:0005576;GO:0005578
ENSDARG00000000018	GO:0001046;GO:0001895;GO:0003407;GO:0003677;GO:0005634;GO:0006351;GO:0006355;GO:0007275;GO:0014823;GO:0042803;GO:0045494;GO:0060041;GO:0070417
ENSDARG00000000019	GO:0000166;GO:0005524;GO:0005737;GO:0006511;GO:0031625;GO:0061630
ENSDARG00000000068	GO:0006612;GO:0012505;GO:0016020;GO:0032947;GO:0043113;GO:0055078
ENSDARG00000000069	GO:0010507;GO:0034198;GO:0070513;GO:0097190
ENSDARG00000000103	GO:0000166;GO:0003774;GO:0003779;GO:0005524;GO:0008360;GO:0016459;GO:0021555;GO:0070650
ENSDARG00000000142	GO:0003674;GO:0008150;GO:0016020;GO:0016021
ENSDARG00000000151	GO:0000122;GO:0001076;GO:0003677;GO:0003700;GO:0003707;GO:0004887;GO:0005515;GO:0005634;GO:0006351;GO:0006355;GO:0007275;GO:0008270;GO:0009725;GO:0043401;GO:0043565;GO:0045892;GO:0045893;GO:0045944;GO:0046872
ENSDARG00000000161	GO:0005085;GO:0005089;GO:0005509;GO:0006897;GO:0035023;GO:0035556
ENSDARG00000000175	GO:0003677;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0007275;GO:0043565
ENSDARG00000000212	GO:0005198;GO:0005882
ENSDARG00000000229	GO:0006508;GO:0006511;GO:0008233;GO:0008234;GO:0008270;GO:0016579;GO:0016787;GO:0036459;GO:0046872
ENSDARG00000000241	GO:0005381;GO:0006810;GO:0006811;GO:0006826;GO:0010039;GO:0016020;GO:0016021;GO:0034755;GO:0035162;GO:0042541;GO:0043362;GO:0046688;GO:0055072
ENSDARG00000000324	GO:0030529
ENSDARG00000000349	GO:0003674;GO:0005575;GO:0008150
ENSDARG00000000369	GO:0005575;GO:0008150
ENSDARG00000000370	GO:0000166;GO:0004672;GO:0004674;GO:0005085;GO:0005089;GO:0005524;GO:0006468;GO:0016301;GO:0016310;GO:0016740;GO:0035023
ENSDARG00000000380	GO:0004114;GO:0007165;GO:0008081;GO:0016787;GO:0046872
ENSDARG00000000423	GO:0016491;GO:0046872;GO:0051536;GO:0051537;GO:0055114
ENSDARG00000000442	GO:0000139;GO:0005385;GO:0005794;GO:0006810;GO:0006811;GO:0006829;GO:0006882;GO:0016020;GO:0016021;GO:0030001;GO:0046873;GO:0055085
ENSDARG00000000460	GO:0016020;GO:0016021
ENSDARG00000000472	GO:0001764;GO:0007409;GO:0007417;GO:0045773;GO:0048677
ENSDARG00000000474	GO:0003009;GO:0003674;GO:0005861;GO:0060048
ENSDARG00000000476	GO:0000795;GO:0003697;GO:0005524;GO:0005712;GO:0006298;GO:0016887;GO:0030983;GO:0032389
ENSDARG00000000540	GO:0004066;GO:0005829;GO:0006529;GO:0006541;GO:0008652;GO:0042803
ENSDARG00000000542	GO:0006367;GO:0043565
ENSDARG00000000551	GO:0006810;GO:0006835;GO:0015293;GO:0016020;GO:0016021;GO:0017153
ENSDARG00000000563	GO:0004672;GO:0005524;GO:0005859;GO:0005865;GO:0006468;GO:0006941;GO:0008307;GO:0014866;GO:0030018;GO:0030240;GO:0030241;GO:0031430;GO:0045214;GO:0048739;GO:0051015;GO:0051371;GO:0055003;GO:0055008;GO:0097493
ENSDARG00000000567	GO:0003676;GO:0046872
ENSDARG00000000568	GO:0001570;GO:0003746;GO:0006366;GO:0006368;GO:0006412;GO:0006414;GO:0008023;GO:0042795
ENSDARG00000000588	GO:0005575;GO:0008150
ENSDARG00000000606	GO:0000166;GO:0001539;GO:0003777;GO:0005524;GO:0005858;GO:0007018;GO:0016887;GO:0030286
ENSDARG00000000631	GO:0004721;GO:0004725;GO:0005737;GO:0005856;GO:0006470;GO:0008092;GO:0016311;GO:0016787;GO:0016791
ENSDARG00000000638	GO:0004871;GO:0004930;GO:0007165;GO:0007186;GO:0007601;GO:0007602;GO:0009881;GO:0016020;GO:0016021;GO:0018298;GO:0050896
ENSDARG00000000651	GO:0002949;GO:0004222;GO:0005739;GO:0008033;GO:0016740;GO:0016746;GO:0046872;GO:0061711
ENSDARG00000000656	GO:0000502;GO:0004175;GO:0004298;GO:0005634;GO:0005737;GO:0005839;GO:0006508;GO:0008233;GO:0016787;GO:0051603
ENSDARG00000000666	GO:0005575;GO:0010181;GO:0016491;GO:0055114
ENSDARG00000000690	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0016021;GO:0030285
ENSDARG00000000729	GO:0003714;GO:0005634;GO:0016605;GO:0045892
ENSDARG00000000730	GO:0005328;GO:0005332;GO:0005887;GO:0006810;GO:0006836;GO:0007268;GO:0015293;GO:0015812;GO:0016020;GO:0016021;GO:0043005
ENSDARG00000000747	GO:0005829;GO:0008168;GO:0008175;GO:0008757;GO:0031591;GO:0032259
ENSDARG00000000760	GO:0003677;GO:0005634;GO:0006351;GO:0006355;GO:0046872
ENSDARG00000000779	GO:0006904;GO:0016192;GO:0031101
ENSDARG00000000796	GO:0003677;GO:0003700;GO:0003707;GO:0004879;GO:0005634;GO:0006351;GO:0006355;GO:0008270;GO:0043401;GO:0043565;GO:0046872
ENSDARG00000000804	GO:0005575;GO:0007165
ENSDARG00000000830	GO:0003674;GO:0005634;GO:0005737;GO:0008150;GO:0016020
ENSDARG00000000837	GO:0000281;GO:0005768;GO:0006886;GO:0006897;GO:0007067;GO:0015031;GO:0016020;GO:0016023;GO:0016050;GO:0019898;GO:0030659;GO:0031410;GO:0035091
ENSDARG00000000853	GO:0000166;GO:0004672;GO:0004674;GO:0004712;GO:0004713;GO:0005524;GO:0005737;GO:0005886;GO:0006468;GO:0007275;GO:0016020;GO:0016301;GO:0016310;GO:0016323;GO:0016324;GO:0016740;GO:0030054;GO:0048568
ENSDARG00000000857	GO:0000166;GO:0001756;GO:0004672;GO:0004674;GO:0004707;GO:0005524;GO:0005634;GO:0005737;GO:0006351;GO:0006355;GO:0006357;GO:0006468;GO:0007275;GO:0010831;GO:0016301;GO:0016310;GO:0016740;GO:0031647;GO:0038066;GO:0040016;GO:0045663;GO:0048696;GO:1901741
ENSDARG00000000887	GO:0005575
ENSDARG00000000935	GO:0005575;GO:0008270;GO:0046872
ENSDARG00000000943	GO:0001568;GO:0001947;GO:0003143;GO:0005634;GO:0005737;GO:0005814;GO:0005856;GO:0005929;GO:0006607;GO:0007275;GO:0007368;GO:0008589;GO:0021984;GO:0031290;GO:0031513;GO:0035082;GO:0036064;GO:0042384;GO:0042995;GO:0046872;GO:0061371;GO:2000223
ENSDARG00000001014	GO:0000166;GO:0003774;GO:0003779;GO:0005524;GO:0008360;GO:0016459;GO:0021555;GO:0070650
ENSDARG00000001127	GO:0005313;GO:0006810;GO:0006811;GO:0006814;GO:0006836;GO:0015293;GO:0016020;GO:0016021;GO:0030054;GO:0030672;GO:0031410;GO:0043005;GO:0045202;GO:0055085
