gene,score
1,-7
2,-7
3,-2
4,-4
5,0
6,-3
8,-1
10,-2
11,-1
12,-6
13,-1
14,0
15,1
16,2
17,-2
18,0
19,0
20,-2
22,0
23,1
24,0
25,2
26,-3
27,-2
30,-2
32,0
33,-2
34,-2
35,0
36,-4
37,-4
38,-3
42,-11
43,-3
44,-4
46,0
48,0
49,1
50,-7
52,0
54,-2
55,-1
56,-1
57,-12
58,-6
59,0
60,0
61,-1
62,-1
63,0
64,-4
65,2
66,-2
67,-1
68,1
69,-4
70,-1
71,1
72,0
74,1
75,-3
76,-1
77,1
78,0
79,-1
80,-4
81,-4
82,-7
83,-6
84,-1
85,0
86,0
87,-1
88,-10
89,-6
90,0
91,-1
92,-2
93,0
94,-1
96,-5
97,-2
98,-4
100,1
101,-5
102,-1
103,-1
104,0
105,-2
106,-10
109,7
110,-1
111,-2
113,-2
114,-11
115,-1
116,-1
117,-1
119,0
120,0
121,1
122,-4
123,2
124,-2
125,0
126,-1
128,0
129,-1
131,-4
133,0
134,-2
135,-7
136,-4
137,3
138,-4
139,-2
141,-8
142,-4
143,17
144,-3
146,0
147,0
148,0
149,-1
150,0
151,3
152,-6
154,0
155,-1
156,-2
158,0
159,-6
160,-4
161,0
162,0
163,-2
164,-4
165,-1
166,-5
167,-1
168,0
169,-5
170,1
171,35
172,-1
173,0
174,-6
175,-2
176,-9
177,0
178,-10
179,1
180,-1
181,-4
182,-7
184,0
185,3
186,0
187,3
190,-5
192,-1
193,-6
194,0
195,-1
196,4
197,-1
198,-10
199,-1
200,2
201,-6
203,-3
204,-3
205,-2
206,0
207,-1
208,-2
209,5
210,2
211,-2
212,-1
213,-1
214,0
215,-5
216,-3
217,-2
218,-4
219,-9
220,3
221,0
222,-9
223,4
224,-7
225,-1
226,0
228,0
230,-1
231,0
232,0
234,-2
235,-1
236,-4
237,0
238,0
239,6
240,-4
241,-6
242,-2
243,1
244,-1
245,-7
246,-6
247,1
248,-8
249,0
251,-7
253,-2
254,-1
255,-2
257,-4
258,-3
259,-1
260,-3
261,1
262,-1
263,-3
264,0
265,1
266,-2
267,-1
268,0
269,-1
270,0
271,0
272,2
273,0
275,-1
277,-10
278,-1
279,1
280,1
281,-3
282,0
283,0
285,0
286,1
287,5
288,-2
289,2
290,-18
291,-2
292,0
293,0
295,2
296,0
299,-5
300,0
302,-2
303,0
304,-4
305,1
306,1
308,-3
309,-3
310,2
311,1
312,-5
316,-6
317,11
318,-7
319,-1
321,-1
322,-3
323,-4
325,3
326,0
327,-1
328,-2
329,-5
330,1
331,-3
332,-1
333,-2
335,-3
337,1
338,1
339,-1
341,0
342,-3
343,-3
344,3
