seq	name.x	term	lev	value	swissProt	name.y	egn	db	description
ORTHOMCL10346	actin binding	GO:0003779	4	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10542	actin binding	GO:0003779	4	1	P16086	SPTN1_RAT	SPTN1	RAT	none
ORTHOMCL11621	actin binding	GO:0003779	4	1	Q5T1M5	FKB15_HUMAN	FKB15	HUMAN	FK506 binding protein 15 [Source:HGNC Symbol;Acc:HGNC:23397]
ORTHOMCL11911	actin binding	GO:0003779	4	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12474	actin binding	GO:0003779	4	1	Q9FHN8	KN14E_ARATH	KN14E	ARATH	none
ORTHOMCL12636	actin binding	GO:0003779	4	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL14888	actin binding	GO:0003779	4	1	Q8N556	AFAP1_HUMAN	AFAP1	HUMAN	actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]
ORTHOMCL16006	actin binding	GO:0003779	4	1	Q7Z460	CLAP1_HUMAN	CLAP1	HUMAN	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]
ORTHOMCL16201	actin binding	GO:0003779	4	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL17892	actin binding	GO:0003779	4	1	Q9P219	DAPLE_HUMAN	DAPLE	HUMAN	coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
ORTHOMCL1855	actin binding	GO:0003779	4	1	Q7JQD3	GELS1_LUMTE	GELS1	LUMTE	none
ORTHOMCL21753	actin binding	GO:0003779	4	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2526	actin binding	GO:0003779	4	1	P19352	TPM2_CHICK	TPM2	CHICK	Tropomyosin beta chain  [Source:UniProtKB/Swiss-Prot;Acc:P19352]
ORTHOMCL2684	actin binding	GO:0003779	4	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL3836	actin binding	GO:0003779	4	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL5710	actin binding	GO:0003779	4	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL5783	actin binding	GO:0003779	4	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL8234	actin binding	GO:0003779	4	1	P00519	ABL1_HUMAN	ABL1	HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
ORTHOMCL837	actin binding	GO:0003779	4	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL8658	actin binding	GO:0003779	4	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL8697	actin binding	GO:0003779	4	1	Q08378	GOGA3_HUMAN	GOGA3	HUMAN	golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]
ORTHOMCL9634	actin binding	GO:0003779	4	1	Q13507	TRPC3_HUMAN	TRPC3	HUMAN	transient receptor potential cation channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:12335]
ORTHOMCL9688	actin binding	GO:0003779	4	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL10346	actin filament binding	GO:0051015	2	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL11911	actin filament binding	GO:0051015	2	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12474	actin filament binding	GO:0051015	2	1	Q9FHN8	KN14E_ARATH	KN14E	ARATH	none
ORTHOMCL12636	actin filament binding	GO:0051015	2	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL16006	actin filament binding	GO:0051015	2	1	Q7Z460	CLAP1_HUMAN	CLAP1	HUMAN	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]
ORTHOMCL16201	actin filament binding	GO:0051015	2	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL1855	actin filament binding	GO:0051015	2	1	Q7JQD3	GELS1_LUMTE	GELS1	LUMTE	none
ORTHOMCL21753	actin filament binding	GO:0051015	2	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2526	actin filament binding	GO:0051015	2	1	P19352	TPM2_CHICK	TPM2	CHICK	Tropomyosin beta chain  [Source:UniProtKB/Swiss-Prot;Acc:P19352]
ORTHOMCL2684	actin filament binding	GO:0051015	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL3836	actin filament binding	GO:0051015	2	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL5710	actin filament binding	GO:0051015	2	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL5783	actin filament binding	GO:0051015	2	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL8234	actin filament binding	GO:0051015	2	1	P00519	ABL1_HUMAN	ABL1	HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
ORTHOMCL837	actin filament binding	GO:0051015	2	1	O16127	TPM_ECHGR	TPM	ECHGR	none
ORTHOMCL8658	actin filament binding	GO:0051015	2	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL10346	actinin binding	GO:0051393;GO:0042805	5	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL11911	actinin binding	GO:0051393;GO:0042805	5	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12283	actinin binding	GO:0051393;GO:0042805	5	1	P29274	AA2AR_HUMAN	AA2AR	HUMAN	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
ORTHOMCL16201	actinin binding	GO:0051393;GO:0042805	5	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL21753	actinin binding	GO:0051393;GO:0042805	5	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
