ortho	swissProt	name	egn	db	description
ORTHOMCL10002	Q05823	RN5A_HUMAN	RN5A	HUMAN	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]
ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
ORTHOMCL10008	O43913	ORC5_HUMAN	ORC5	HUMAN	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]
ORTHOMCL10013	Q96L58	B3GT6_HUMAN	B3GT6	HUMAN	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]
ORTHOMCL10014	Q9HBU1	BARX1_HUMAN	BARX1	HUMAN	BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]
ORTHOMCL10019	Q8NBV4	PLPP7_HUMAN	PLPP7	HUMAN	phospholipid phosphatase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:28174]
ORTHOMCL10024	Q9NWH7	SPAT6_HUMAN	SPAT6	HUMAN	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]
ORTHOMCL10029	P28069	PIT1_HUMAN	PIT1	HUMAN	POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9210]
ORTHOMCL10045	P14780	MMP9_HUMAN	MMP9	HUMAN	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]
ORTHOMCL10069	Q969N2	PIGT_HUMAN	PIGT	HUMAN	phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]
ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
ORTHOMCL10083	Q9UJA2	CRLS1_HUMAN	CRLS1	HUMAN	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]
ORTHOMCL10120	P59046	NAL12_HUMAN	NAL12	HUMAN	NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]
ORTHOMCL10124	Q8N3Z3	GTPB8_HUMAN	GTPB8	HUMAN	GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
ORTHOMCL10127	Q01804	OTUD4_HUMAN	OTUD4	HUMAN	OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
ORTHOMCL10170	A6NMZ7	CO6A6_HUMAN	CO6A6	HUMAN	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]
ORTHOMCL10192	Q86XK3	SFR1_HUMAN	SFR1	HUMAN	SWI5 dependent homologous recombination repair protein 1 [Source:HGNC Symbol;Acc:HGNC:29574]
ORTHOMCL10194	Q5THR3	EFCB6_HUMAN	EFCB6	HUMAN	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]
ORTHOMCL10199	Q5VUJ6	LRCH2_HUMAN	LRCH2	HUMAN	leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292]
