gene,score
ORTHOMCL10199,1
ORTHOMCL10205,1
ORTHOMCL10333,1
ORTHOMCL10473,1
ORTHOMCL10514,1
ORTHOMCL10543,1
ORTHOMCL10756,1
ORTHOMCL10794,1
ORTHOMCL10968,1
ORTHOMCL11155,1
ORTHOMCL11239,1
ORTHOMCL11252,1
ORTHOMCL11301,1
ORTHOMCL1132,1
ORTHOMCL11541,1
ORTHOMCL11586,1
ORTHOMCL11590,1
ORTHOMCL11938,1
ORTHOMCL12242,1
ORTHOMCL12260,1
ORTHOMCL12269,1
ORTHOMCL12373,1
ORTHOMCL13890,1
ORTHOMCL1401,1
ORTHOMCL14156,1
ORTHOMCL14244,1
ORTHOMCL14405,1
ORTHOMCL14532,1
ORTHOMCL15094,1
ORTHOMCL15512,1
ORTHOMCL15544,1
ORTHOMCL16368,1
ORTHOMCL16531,1
ORTHOMCL17188,1
ORTHOMCL17866,1
ORTHOMCL1886,1
ORTHOMCL18966,1
ORTHOMCL19897,1
ORTHOMCL22124,1
ORTHOMCL2349,1
ORTHOMCL2465,1
ORTHOMCL2489,1
ORTHOMCL2558,1
ORTHOMCL2628,1
ORTHOMCL2713,1
ORTHOMCL2803,1
ORTHOMCL2878,1
ORTHOMCL2985,1
ORTHOMCL3062,1
ORTHOMCL3113,1
ORTHOMCL3275,1
ORTHOMCL3600,1
ORTHOMCL3606,1
ORTHOMCL3757,1
ORTHOMCL4465,1
ORTHOMCL4535,1
ORTHOMCL4662,1
ORTHOMCL4852,1
ORTHOMCL5003,1
ORTHOMCL5033,1
ORTHOMCL5076,1
ORTHOMCL5371,1
ORTHOMCL5465,1
ORTHOMCL5488,1
ORTHOMCL5517,1
ORTHOMCL5518,1
ORTHOMCL5637,1
ORTHOMCL5732,1
ORTHOMCL5777,1
ORTHOMCL5808,1
ORTHOMCL5834,1
ORTHOMCL6217,1
ORTHOMCL6246,1
ORTHOMCL6277,1
ORTHOMCL6283,1
ORTHOMCL6313,1
ORTHOMCL6400,1
ORTHOMCL6538,1
ORTHOMCL6826,1
ORTHOMCL6839,1
ORTHOMCL6969,1
ORTHOMCL7011,1
ORTHOMCL7072,1
ORTHOMCL7082,1
ORTHOMCL7095,1
ORTHOMCL7114,1
ORTHOMCL7119,1
ORTHOMCL7125,1
ORTHOMCL7139,1
ORTHOMCL7173,1
ORTHOMCL7206,1
ORTHOMCL7223,1
ORTHOMCL7228,1
ORTHOMCL7287,1
ORTHOMCL7321,1
ORTHOMCL7333,1
ORTHOMCL7437,1
ORTHOMCL7521,1
ORTHOMCL8060,1
ORTHOMCL8062,1
ORTHOMCL8157,1
ORTHOMCL8210,1
ORTHOMCL8345,1
ORTHOMCL8406,1
ORTHOMCL8431,1
ORTHOMCL8571,1
ORTHOMCL8600,1
ORTHOMCL8669,1
ORTHOMCL868,1
ORTHOMCL8704,1
ORTHOMCL8747,1
ORTHOMCL9079,1
ORTHOMCL9235,1
ORTHOMCL9258,1
ORTHOMCL9286,1
ORTHOMCL9294,1
ORTHOMCL9366,1
ORTHOMCL9572,1
ORTHOMCL9632,1
ORTHOMCL9637,1
ORTHOMCL9701,1
ORTHOMCL9802,1
ORTHOMCL9849,1
ORTHOMCL18576,0
ORTHOMCL12641,0
ORTHOMCL6604,0
ORTHOMCL11621,0
ORTHOMCL9283,0
ORTHOMCL9530,0
ORTHOMCL11287,0
ORTHOMCL13637,0
ORTHOMCL14229,0
ORTHOMCL2658,0
ORTHOMCL12636,0
ORTHOMCL3762,0
ORTHOMCL2950,0
ORTHOMCL13749,0
ORTHOMCL9851,0
ORTHOMCL9538,0
ORTHOMCL1751,0
ORTHOMCL1168,0
ORTHOMCL3473,0
ORTHOMCL17478,0
ORTHOMCL15360,0
ORTHOMCL5848,0
ORTHOMCL1835,0
ORTHOMCL6669,0
ORTHOMCL5567,0
ORTHOMCL13063,0
ORTHOMCL1859,0
ORTHOMCL4762,0
ORTHOMCL7355,0
ORTHOMCL2963,0
ORTHOMCL21712,0
ORTHOMCL8768,0
ORTHOMCL10026,0
ORTHOMCL13657,0
ORTHOMCL6831,0
ORTHOMCL5952,0
ORTHOMCL1856,0
ORTHOMCL10890,0
ORTHOMCL6175,0
ORTHOMCL3047,0
ORTHOMCL8035,0
ORTHOMCL7704,0
ORTHOMCL7251,0
ORTHOMCL3733,0
ORTHOMCL20435,0
ORTHOMCL10357,0
ORTHOMCL6539,0
ORTHOMCL10868,0
ORTHOMCL12251,0
ORTHOMCL18782,0
ORTHOMCL14908,0
ORTHOMCL5490,0
ORTHOMCL3361,0
ORTHOMCL12979,0
ORTHOMCL10706,0
ORTHOMCL15573,0
ORTHOMCL20514,0
ORTHOMCL6447,0
ORTHOMCL15828,0
ORTHOMCL12064,0
ORTHOMCL17037,0
ORTHOMCL5879,0
ORTHOMCL7075,0
ORTHOMCL9776,0
ORTHOMCL12429,0
ORTHOMCL6615,0
ORTHOMCL2347,0
ORTHOMCL15216,0
ORTHOMCL12404,0
ORTHOMCL13650,0
ORTHOMCL13357,0
ORTHOMCL1664,0
ORTHOMCL11988,0
ORTHOMCL12184,0
ORTHOMCL4513,0
ORTHOMCL21711,0
ORTHOMCL8382,0
ORTHOMCL9414,0
ORTHOMCL16280,0
ORTHOMCL16006,0
ORTHOMCL13624,0
ORTHOMCL11829,0
ORTHOMCL3684,0
ORTHOMCL3469,0
ORTHOMCL17847,0
ORTHOMCL9613,0
ORTHOMCL12374,0
ORTHOMCL19159,0
ORTHOMCL5280,0
ORTHOMCL19869,0
ORTHOMCL991,0
ORTHOMCL13036,0
ORTHOMCL9617,0
ORTHOMCL8909,0
ORTHOMCL2059,0
ORTHOMCL9542,0
ORTHOMCL2310,0
ORTHOMCL9492,0
ORTHOMCL6212,0
ORTHOMCL9474,0
ORTHOMCL11918,0
ORTHOMCL3826,0
ORTHOMCL14216,0
ORTHOMCL18071,0
ORTHOMCL4786,0
ORTHOMCL15083,0
ORTHOMCL12073,0
ORTHOMCL5487,0
ORTHOMCL12001,0
ORTHOMCL10735,0
ORTHOMCL9810,0
ORTHOMCL3243,0
ORTHOMCL1129,0
ORTHOMCL12605,0
ORTHOMCL3344,0
ORTHOMCL6202,0
ORTHOMCL21812,0
ORTHOMCL17348,0
ORTHOMCL13228,0
ORTHOMCL5589,0
ORTHOMCL17196,0
ORTHOMCL18672,0
ORTHOMCL8070,0
ORTHOMCL9403,0
ORTHOMCL8260,0
ORTHOMCL8449,0
ORTHOMCL19328,0
ORTHOMCL6323,0
ORTHOMCL5646,0
ORTHOMCL12245,0
ORTHOMCL1282,0
ORTHOMCL7131,0
ORTHOMCL12163,0
ORTHOMCL6143,0
ORTHOMCL6263,0
ORTHOMCL5855,0
ORTHOMCL16326,0
ORTHOMCL14240,0
ORTHOMCL8780,0
ORTHOMCL22642,0
ORTHOMCL7746,0
ORTHOMCL5562,0
ORTHOMCL10404,0
ORTHOMCL3435,0
ORTHOMCL12665,0
ORTHOMCL22608,0
ORTHOMCL6340,0
ORTHOMCL11556,0
ORTHOMCL4186,0
ORTHOMCL4638,0
ORTHOMCL9281,0
ORTHOMCL12412,0
ORTHOMCL21279,0
ORTHOMCL13110,0
ORTHOMCL4536,0
ORTHOMCL13597,0
ORTHOMCL9511,0
ORTHOMCL11512,0
ORTHOMCL10217,0
ORTHOMCL20252,0
ORTHOMCL719,0
ORTHOMCL11156,0
ORTHOMCL11418,0
ORTHOMCL13564,0
ORTHOMCL1206,0
ORTHOMCL8405,0
ORTHOMCL11573,0
ORTHOMCL11725,0
ORTHOMCL4067,0
ORTHOMCL11361,0
ORTHOMCL2019,0
ORTHOMCL3769,0
ORTHOMCL18820,0
ORTHOMCL5774,0
ORTHOMCL3624,0
ORTHOMCL9345,0
ORTHOMCL5640,0
ORTHOMCL12178,0
ORTHOMCL17724,0
ORTHOMCL9136,0
