ortho	swissProt	name	egn	db	description
1	ORTHOMCL10517	Q5VV67	PPRC1_HUMAN	PPRC1	HUMAN	peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
2	ORTHOMCL10716	Q9UBS9	SUCO_HUMAN	SUCO	HUMAN	SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]
3	ORTHOMCL12073	Q5THR3	EFCB6_HUMAN	EFCB6	HUMAN	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]
4	ORTHOMCL12204	Q9UBT2	SAE2_HUMAN	SAE2	HUMAN	ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]
5	ORTHOMCL12391	Q9HAU5	RENT2_HUMAN	RENT2	HUMAN	UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]
6	ORTHOMCL13213	O60235	TM11D_HUMAN	TM11D	HUMAN	transmembrane serine protease 11D [Source:HGNC Symbol;Acc:HGNC:24059]
7	ORTHOMCL13247	O14686	KMT2D_HUMAN	KMT2D	HUMAN	lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]
8	ORTHOMCL13570	Q9HCM2	PLXA4_HUMAN	PLXA4	HUMAN	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]
9	ORTHOMCL13650	Q96JH8	RADIL_HUMAN	RADIL	HUMAN	Rap associating with DIL domain [Source:HGNC Symbol;Acc:HGNC:22226]
10	ORTHOMCL15828	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
11	ORTHOMCL16280	A6NED2	RCCD1_HUMAN	RCCD1	HUMAN	RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]
12	ORTHOMCL16518	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
13	ORTHOMCL16629	Q9UKV3	ACINU_HUMAN	ACINU	HUMAN	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]
14	ORTHOMCL17025	O75037	KI21B_HUMAN	KI21B	HUMAN	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]
15	ORTHOMCL17478	Q9BWH6	RPAP1_HUMAN	RPAP1	HUMAN	RNA polymerase II associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24567]
16	ORTHOMCL1751	Q96DF8	ESS2_HUMAN	ESS2	HUMAN	ess-2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:16817]
17	ORTHOMCL1856	A6NIH7	U119B_HUMAN	U119B	HUMAN	unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488]
18	ORTHOMCL19584	Q6U841	S4A10_HUMAN	S4A10	HUMAN	solute carrier family 4 member 10 [Source:HGNC Symbol;Acc:HGNC:13811]
19	ORTHOMCL19718	Q6QNK2	AGRD1_HUMAN	AGRD1	HUMAN	adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]
20	ORTHOMCL19828	Q92636	FAN_HUMAN	FAN	HUMAN	neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]
21	ORTHOMCL20299	Q70CQ2	UBP34_HUMAN	UBP34	HUMAN	ubiquitin specific peptidase 34 [Source:HGNC Symbol;Acc:HGNC:20066]
22	ORTHOMCL20435	Q99549	MPP8_HUMAN	MPP8	HUMAN	M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810]
23	ORTHOMCL21506	P54277	PMS1_HUMAN	PMS1	HUMAN	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]
24	ORTHOMCL2985	Q9BUH8	BEGIN_HUMAN	BEGIN	HUMAN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]
25	ORTHOMCL3684	Q9UBN7	HDAC6_HUMAN	HDAC6	HUMAN	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]
26	ORTHOMCL4009	P78317	RNF4_HUMAN	RNF4	HUMAN	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]
27	ORTHOMCL4333	Q9P0S9	TM14C_HUMAN	TM14C	HUMAN	transmembrane protein 14C [Source:HGNC Symbol;Acc:HGNC:20952]
28	ORTHOMCL5848	Q6TDP4	KLH17_HUMAN	KLH17	HUMAN	kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]
29	ORTHOMCL6163	Q6ZV89	SH2D5_HUMAN	SH2D5	HUMAN	SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]
30	ORTHOMCL6340	P59910	DJB13_HUMAN	DJB13	HUMAN	DnaJ heat shock protein family (Hsp40) member B13 [Source:HGNC Symbol;Acc:HGNC:30718]
31	ORTHOMCL6604	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
32	ORTHOMCL7263	O95980	RECK_HUMAN	RECK	HUMAN	reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]
33	ORTHOMCL7871	Q8ND56	LS14A_HUMAN	LS14A	HUMAN	LSM14A, mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]
34	ORTHOMCL8040	Q9UKT5	FBX4_HUMAN	FBX4	HUMAN	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]
