gene,score
ORTHOMCL10005,1
ORTHOMCL10007,1
ORTHOMCL10008,1
ORTHOMCL10009,1
ORTHOMCL10012,1
ORTHOMCL10013,1
ORTHOMCL10022,1
ORTHOMCL10024,1
ORTHOMCL10028,1
ORTHOMCL10035,1
ORTHOMCL10047,1
ORTHOMCL10050,1
ORTHOMCL10068,1
ORTHOMCL10070,1
ORTHOMCL10078,1
ORTHOMCL10083,1
ORTHOMCL10086,1
ORTHOMCL10097,1
ORTHOMCL10105,1
ORTHOMCL10111,1
ORTHOMCL10113,1
ORTHOMCL10127,1
ORTHOMCL10141,1
ORTHOMCL10154,1
ORTHOMCL10160,1
ORTHOMCL10169,1
ORTHOMCL1016,1
ORTHOMCL10170,1
ORTHOMCL10192,1
ORTHOMCL10193,1
ORTHOMCL10194,1
ORTHOMCL10198,1
ORTHOMCL10199,1
ORTHOMCL10203,1
ORTHOMCL10205,1
ORTHOMCL10206,1
ORTHOMCL10209,1
ORTHOMCL10210,1
ORTHOMCL10212,1
ORTHOMCL10214,1
ORTHOMCL10219,1
ORTHOMCL10220,1
ORTHOMCL10224,1
ORTHOMCL10225,1
ORTHOMCL10226,1
ORTHOMCL10227,1
ORTHOMCL10228,1
ORTHOMCL10229,1
ORTHOMCL10230,1
ORTHOMCL10232,1
ORTHOMCL10233,1
ORTHOMCL10234,1
ORTHOMCL10237,1
ORTHOMCL10238,1
ORTHOMCL10241,1
ORTHOMCL10242,1
ORTHOMCL10244,1
ORTHOMCL10245,1
ORTHOMCL10247,1
ORTHOMCL10248,1
ORTHOMCL10252,1
ORTHOMCL10254,1
ORTHOMCL10256,1
ORTHOMCL10259,1
ORTHOMCL10268,1
ORTHOMCL1026,1
ORTHOMCL10270,1
ORTHOMCL10271,1
ORTHOMCL10275,1
ORTHOMCL10277,1
ORTHOMCL10278,1
ORTHOMCL10279,1
ORTHOMCL10280,1
ORTHOMCL10285,1
ORTHOMCL10287,1
ORTHOMCL10295,1
ORTHOMCL10298,1
ORTHOMCL10299,1
ORTHOMCL10300,1
ORTHOMCL10302,1
ORTHOMCL10305,1
ORTHOMCL10306,1
ORTHOMCL10309,1
ORTHOMCL10310,1
ORTHOMCL10311,1
ORTHOMCL10318,1
ORTHOMCL10321,1
ORTHOMCL10324,1
ORTHOMCL10325,1
ORTHOMCL10327,1
ORTHOMCL10330,1
ORTHOMCL10336,1
ORTHOMCL10346,1
ORTHOMCL10348,1
ORTHOMCL10349,1
ORTHOMCL10350,1
ORTHOMCL10365,1
ORTHOMCL10367,1
ORTHOMCL10370,1
ORTHOMCL10371,1
ORTHOMCL10372,1
ORTHOMCL10376,1
ORTHOMCL10379,1
ORTHOMCL10382,1
ORTHOMCL10384,1
ORTHOMCL10389,1
ORTHOMCL10394,1
ORTHOMCL10401,1
ORTHOMCL10404,1
ORTHOMCL10405,1
ORTHOMCL10410,1
ORTHOMCL10412,1
ORTHOMCL10415,1
ORTHOMCL10417,1
ORTHOMCL10424,1
ORTHOMCL10427,1
ORTHOMCL10429,1
ORTHOMCL10437,1
ORTHOMCL10438,1
ORTHOMCL10441,1
ORTHOMCL10443,1
ORTHOMCL10447,1
ORTHOMCL10453,1
ORTHOMCL10456,1
ORTHOMCL10458,1
ORTHOMCL10463,1
ORTHOMCL10466,1
ORTHOMCL10468,1
ORTHOMCL10472,1
ORTHOMCL10473,1
ORTHOMCL10475,1
ORTHOMCL10479,1
ORTHOMCL10481,1
ORTHOMCL10482,1
ORTHOMCL10483,1
ORTHOMCL10486,1
ORTHOMCL10487,1
ORTHOMCL10489,1
ORTHOMCL10493,1
ORTHOMCL10494,1
ORTHOMCL10496,1
ORTHOMCL10499,1
ORTHOMCL10502,1
ORTHOMCL10504,1
ORTHOMCL10506,1
ORTHOMCL10512,1
ORTHOMCL10514,1
ORTHOMCL10517,1
ORTHOMCL10520,1
ORTHOMCL10525,1
ORTHOMCL10529,1
ORTHOMCL10530,1
ORTHOMCL10531,1
ORTHOMCL10533,1
ORTHOMCL10534,1
ORTHOMCL10537,1
ORTHOMCL10540,1
ORTHOMCL10541,1
ORTHOMCL10542,1
ORTHOMCL10543,1
ORTHOMCL10545,1
ORTHOMCL10549,1
ORTHOMCL1054,1
ORTHOMCL10554,1
ORTHOMCL10555,1
ORTHOMCL10558,1
ORTHOMCL1055,1
ORTHOMCL10560,1
ORTHOMCL10561,1
ORTHOMCL10571,1
ORTHOMCL10572,1
ORTHOMCL10579,1
ORTHOMCL10582,1
ORTHOMCL10585,1
ORTHOMCL10586,1
ORTHOMCL10597,1
ORTHOMCL10600,1
ORTHOMCL10606,1
ORTHOMCL10608,1
ORTHOMCL1060,1
ORTHOMCL10618,1
ORTHOMCL10619,1
ORTHOMCL10622,1
ORTHOMCL10628,1
ORTHOMCL10629,1
ORTHOMCL10631,1
ORTHOMCL10635,1
ORTHOMCL10637,1
ORTHOMCL10639,1
ORTHOMCL1063,1
ORTHOMCL10640,1
ORTHOMCL10644,1
ORTHOMCL10652,1
ORTHOMCL10653,1
ORTHOMCL10655,1
ORTHOMCL10659,1
ORTHOMCL10664,1
ORTHOMCL10666,1
ORTHOMCL10673,1
ORTHOMCL10677,1
ORTHOMCL10678,1
ORTHOMCL10686,1
ORTHOMCL10695,1
ORTHOMCL10697,1
ORTHOMCL10698,1
ORTHOMCL10701,1
ORTHOMCL10704,1
ORTHOMCL10706,1
ORTHOMCL10707,1
ORTHOMCL10708,1
ORTHOMCL10712,1
ORTHOMCL10714,1
ORTHOMCL10715,1
ORTHOMCL10718,1
ORTHOMCL10719,1
ORTHOMCL10725,1
ORTHOMCL10728,1
ORTHOMCL10730,1
ORTHOMCL10733,1
ORTHOMCL10735,1
ORTHOMCL10736,1
ORTHOMCL10737,1
ORTHOMCL10746,1
ORTHOMCL10748,1
ORTHOMCL10751,1
ORTHOMCL10753,1
ORTHOMCL10755,1
ORTHOMCL10757,1
ORTHOMCL10760,1
ORTHOMCL10762,1
ORTHOMCL10766,1
ORTHOMCL10768,1
ORTHOMCL10769,1
ORTHOMCL10770,1
ORTHOMCL10773,1
ORTHOMCL10777,1
ORTHOMCL10780,1
ORTHOMCL10783,1
ORTHOMCL10785,1
ORTHOMCL10786,1
ORTHOMCL10787,1
ORTHOMCL10788,1
ORTHOMCL10790,1
ORTHOMCL10793,1
ORTHOMCL10794,1
ORTHOMCL10795,1
ORTHOMCL10797,1
ORTHOMCL10798,1
ORTHOMCL10803,1
ORTHOMCL10808,1
ORTHOMCL10812,1
ORTHOMCL10813,1
ORTHOMCL10814,1
ORTHOMCL10815,1
ORTHOMCL10818,1
