ortho	swissProt	name	egn	db	description
ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
ORTHOMCL10008	O43913	ORC5_HUMAN	ORC5	HUMAN	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]
ORTHOMCL10013	Q96L58	B3GT6_HUMAN	B3GT6	HUMAN	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]
ORTHOMCL10014	Q9HBU1	BARX1_HUMAN	BARX1	HUMAN	BARX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:955]
ORTHOMCL10019	Q8NBV4	PLPP7_HUMAN	PLPP7	HUMAN	phospholipid phosphatase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:28174]
ORTHOMCL10024	Q9NWH7	SPAT6_HUMAN	SPAT6	HUMAN	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]
ORTHOMCL10069	Q969N2	PIGT_HUMAN	PIGT	HUMAN	phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]
ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
ORTHOMCL10127	Q01804	OTUD4_HUMAN	OTUD4	HUMAN	OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
ORTHOMCL10199	Q5VUJ6	LRCH2_HUMAN	LRCH2	HUMAN	leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292]
ORTHOMCL10206	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
ORTHOMCL10210	Q2PPJ7	RGPA2_HUMAN	RGPA2	HUMAN	Ral GTPase activating protein catalytic alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:16207]
ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
ORTHOMCL10225	Q2KHT3	CL16A_HUMAN	CL16A	HUMAN	C-type lectin domain containing 16A [Source:HGNC Symbol;Acc:HGNC:29013]
ORTHOMCL10226	Q8N4C6	NIN_HUMAN	NIN	HUMAN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]
ORTHOMCL10227	P16591	FER_HUMAN	FER	HUMAN	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]
ORTHOMCL10238	O95373	IPO7_HUMAN	IPO7	HUMAN	importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]
ORTHOMCL10243	Q9GZR5	ELOV4_HUMAN	ELOV4	HUMAN	ELOVL fatty acid elongase 4 [Source:HGNC Symbol;Acc:HGNC:14415]
ORTHOMCL10248	Q14683	SMC1A_HUMAN	SMC1A	HUMAN	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]
ORTHOMCL10256	Q13206	DDX10_HUMAN	DDX10	HUMAN	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]
ORTHOMCL10273	Q14678	KANK1_HUMAN	KANK1	HUMAN	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]
ORTHOMCL10275	O14646	CHD1_HUMAN	CHD1	HUMAN	chromodomain helicase DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1915]
