ortho	swissProt	name	egn	db	description
1	ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
2	ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
3	ORTHOMCL10170	A6NMZ7	CO6A6_HUMAN	CO6A6	HUMAN	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]
4	ORTHOMCL10199	Q5VUJ6	LRCH2_HUMAN	LRCH2	HUMAN	leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292]
5	ORTHOMCL10206	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
6	ORTHOMCL10210	Q2PPJ7	RGPA2_HUMAN	RGPA2	HUMAN	Ral GTPase activating protein catalytic alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:16207]
7	ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
8	ORTHOMCL10217	Q4ADV7	RIC1_HUMAN	RIC1	HUMAN	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]
9	ORTHOMCL10219	Q5NDL2	EOGT_HUMAN	EOGT	HUMAN	EGF domain specific O-linked N-acetylglucosamine transferase [Source:HGNC Symbol;Acc:HGNC:28526]
10	ORTHOMCL10227	P16591	FER_HUMAN	FER	HUMAN	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]
11	ORTHOMCL10234	Q8IV20	LACC1_HUMAN	LACC1	HUMAN	laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]
12	ORTHOMCL10253	Q9NVH2	INT7_HUMAN	INT7	HUMAN	integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]
13	ORTHOMCL10273	Q14678	KANK1_HUMAN	KANK1	HUMAN	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]
14	ORTHOMCL10277	Q86VQ0	LCA5_HUMAN	LCA5	HUMAN	LCA5, lebercilin [Source:HGNC Symbol;Acc:HGNC:31923]
15	ORTHOMCL10278	Q6ZSS7	MFSD6_HUMAN	MFSD6	HUMAN	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]
16	ORTHOMCL10287	Q9NWY4	HPF1_HUMAN	HPF1	HUMAN	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]
17	ORTHOMCL10295	O60260	PRKN_HUMAN	PRKN	HUMAN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]
18	ORTHOMCL10299	Q9Y2W6	TDRKH_HUMAN	TDRKH	HUMAN	tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
19	ORTHOMCL10346	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
20	ORTHOMCL10357	P42680	TEC_HUMAN	TEC	HUMAN	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]
21	ORTHOMCL10364	Q13823	NOG2_HUMAN	NOG2	HUMAN	G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]
22	ORTHOMCL10371	O95486	SC24A_HUMAN	SC24A	HUMAN	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]
23	ORTHOMCL10382	Q13523	PRP4B_HUMAN	PRP4B	HUMAN	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]
24	ORTHOMCL10383	Q8IYE1	CCD13_HUMAN	CCD13	HUMAN	coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]
25	ORTHOMCL10389	O75063	XYLK_HUMAN	XYLK	HUMAN	FAM20B, glycosaminoglycan xylosylkinase [Source:HGNC Symbol;Acc:HGNC:23017]
26	ORTHOMCL10398	Q9NRH1	YAED1_HUMAN	YAED1	HUMAN	Yae1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24857]
27	ORTHOMCL10410	O60293	ZC3H1_HUMAN	ZC3H1	HUMAN	zinc finger C3H1-type containing [Source:HGNC Symbol;Acc:HGNC:28328]
28	ORTHOMCL10412	O60476	MA1A2_HUMAN	MA1A2	HUMAN	mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822]
29	ORTHOMCL10417	Q71F23	CENPU_HUMAN	CENPU	HUMAN	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]
30	ORTHOMCL10425	Q96KR1	ZFR_HUMAN	ZFR	HUMAN	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]
31	ORTHOMCL10427	Q96JB2	COG3_HUMAN	COG3	HUMAN	component of oligomeric golgi complex 3 [Source:HGNC Symbol;Acc:HGNC:18619]
32	ORTHOMCL10447	Q9BV38	WDR18_HUMAN	WDR18	HUMAN	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]
33	ORTHOMCL10472	O75342	LX12B_HUMAN	LX12B	HUMAN	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]
34	ORTHOMCL10473	Q14166	TTL12_HUMAN	TTL12	HUMAN	tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]
35	ORTHOMCL10481	Q13490	BIRC2_HUMAN	BIRC2	HUMAN	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]
36	ORTHOMCL10482	Q16629	SRSF7_HUMAN	SRSF7	HUMAN	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]
37	ORTHOMCL10483	Q63HM2	PCX4_HUMAN	PCX4	HUMAN	pecanex homolog 4 [Source:HGNC Symbol;Acc:HGNC:20349]
38	ORTHOMCL10489	Q9UNX4	WDR3_HUMAN	WDR3	HUMAN	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]
39	ORTHOMCL10492	Q9H857	NT5D2_HUMAN	NT5D2	HUMAN	5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]
40	ORTHOMCL10504	P31943	HNRH1_HUMAN	HNRH1	HUMAN	heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]
41	ORTHOMCL10517	Q5VV67	PPRC1_HUMAN	PPRC1	HUMAN	peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
42	ORTHOMCL10530	P46013	KI67_HUMAN	KI67	HUMAN	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
43	ORTHOMCL10532	Q9Y5Q5	CORIN_HUMAN	CORIN	HUMAN	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]
44	ORTHOMCL10533	P55197	AF10_HUMAN	AF10	HUMAN	MLLT10, histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]
45	ORTHOMCL10541	Q0VF49	K2012_HUMAN	K2012	HUMAN	KIAA2012 [Source:HGNC Symbol;Acc:HGNC:51250]
46	ORTHOMCL10543	Q8IVV2	LOXH1_HUMAN	LOXH1	HUMAN	lipoxygenase homology domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]
