ortho	swissProt	name	egn	db	description
ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
ORTHOMCL10008	O43913	ORC5_HUMAN	ORC5	HUMAN	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]
ORTHOMCL10013	Q96L58	B3GT6_HUMAN	B3GT6	HUMAN	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]
ORTHOMCL10024	Q9NWH7	SPAT6_HUMAN	SPAT6	HUMAN	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]
ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
ORTHOMCL10083	Q9UJA2	CRLS1_HUMAN	CRLS1	HUMAN	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]
ORTHOMCL10127	Q01804	OTUD4_HUMAN	OTUD4	HUMAN	OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
ORTHOMCL10170	A6NMZ7	CO6A6_HUMAN	CO6A6	HUMAN	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]
ORTHOMCL10192	Q86XK3	SFR1_HUMAN	SFR1	HUMAN	SWI5 dependent homologous recombination repair protein 1 [Source:HGNC Symbol;Acc:HGNC:29574]
ORTHOMCL10194	Q5THR3	EFCB6_HUMAN	EFCB6	HUMAN	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]
ORTHOMCL10199	Q5VUJ6	LRCH2_HUMAN	LRCH2	HUMAN	leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292]
ORTHOMCL10206	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
ORTHOMCL10210	Q2PPJ7	RGPA2_HUMAN	RGPA2	HUMAN	Ral GTPase activating protein catalytic alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:16207]
ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
ORTHOMCL10214	Q8TD22	SFXN5_HUMAN	SFXN5	HUMAN	sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]
ORTHOMCL10219	Q5NDL2	EOGT_HUMAN	EOGT	HUMAN	EGF domain specific O-linked N-acetylglucosamine transferase [Source:HGNC Symbol;Acc:HGNC:28526]
ORTHOMCL10220	Q9Y6F9	WNT6_HUMAN	WNT6	HUMAN	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]
ORTHOMCL10224	Q99973	TEP1_HUMAN	TEP1	HUMAN	telomerase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:11726]
ORTHOMCL10225	Q2KHT3	CL16A_HUMAN	CL16A	HUMAN	C-type lectin domain containing 16A [Source:HGNC Symbol;Acc:HGNC:29013]
ORTHOMCL10226	Q8N4C6	NIN_HUMAN	NIN	HUMAN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]
ORTHOMCL10227	P16591	FER_HUMAN	FER	HUMAN	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]
ORTHOMCL10234	Q8IV20	LACC1_HUMAN	LACC1	HUMAN	laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]
