ortho	swissProt	name	egn	db	description
ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
ORTHOMCL10199	Q5VUJ6	LRCH2_HUMAN	LRCH2	HUMAN	leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292]
ORTHOMCL10206	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
ORTHOMCL10210	Q2PPJ7	RGPA2_HUMAN	RGPA2	HUMAN	Ral GTPase activating protein catalytic alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:16207]
ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
ORTHOMCL10227	P16591	FER_HUMAN	FER	HUMAN	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]
ORTHOMCL10273	Q14678	KANK1_HUMAN	KANK1	HUMAN	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]
ORTHOMCL10295	O60260	PRKN_HUMAN	PRKN	HUMAN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]
ORTHOMCL10299	Q9Y2W6	TDRKH_HUMAN	TDRKH	HUMAN	tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
ORTHOMCL10346	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10357	P42680	TEC_HUMAN	TEC	HUMAN	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]
ORTHOMCL10383	Q8IYE1	CCD13_HUMAN	CCD13	HUMAN	coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]
ORTHOMCL10410	O60293	ZC3H1_HUMAN	ZC3H1	HUMAN	zinc finger C3H1-type containing [Source:HGNC Symbol;Acc:HGNC:28328]
ORTHOMCL10425	Q96KR1	ZFR_HUMAN	ZFR	HUMAN	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]
ORTHOMCL10473	Q14166	TTL12_HUMAN	TTL12	HUMAN	tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]
ORTHOMCL10481	Q13490	BIRC2_HUMAN	BIRC2	HUMAN	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]
ORTHOMCL10504	P31943	HNRH1_HUMAN	HNRH1	HUMAN	heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]
ORTHOMCL10517	Q5VV67	PPRC1_HUMAN	PPRC1	HUMAN	peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
ORTHOMCL10530	P46013	KI67_HUMAN	KI67	HUMAN	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
ORTHOMCL10541	Q0VF49	K2012_HUMAN	K2012	HUMAN	KIAA2012 [Source:HGNC Symbol;Acc:HGNC:51250]
ORTHOMCL10543	Q8IVV2	LOXH1_HUMAN	LOXH1	HUMAN	lipoxygenase homology domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]
ORTHOMCL10571	Q6P2C0	WDR93_HUMAN	WDR93	HUMAN	WD repeat domain 93 [Source:HGNC Symbol;Acc:HGNC:26924]
ORTHOMCL10584	P20749	BCL3_HUMAN	BCL3	HUMAN	B cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]
ORTHOMCL10628	Q96EP0	RNF31_HUMAN	RNF31	HUMAN	ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]
ORTHOMCL10639	Q8N157	AHI1_HUMAN	AHI1	HUMAN	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]
ORTHOMCL10695	Q96CN5	LRC45_HUMAN	LRC45	HUMAN	leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:HGNC:28302]
ORTHOMCL10712	P19174	PLCG1_HUMAN	PLCG1	HUMAN	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]
ORTHOMCL10716	Q9UBS9	SUCO_HUMAN	SUCO	HUMAN	SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]
ORTHOMCL10735	Q5T2S8	ARMC4_HUMAN	ARMC4	HUMAN	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]
ORTHOMCL10777	Q9BXY5	CAYP2_HUMAN	CAYP2	HUMAN	calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]
ORTHOMCL10820	O94913	PCF11_HUMAN	PCF11	HUMAN	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]
ORTHOMCL10833	Q8WXA3	RUFY2_HUMAN	RUFY2	HUMAN	RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761]
ORTHOMCL10838	Q9HAB8	PPCS_HUMAN	PPCS	HUMAN	phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:HGNC:25686]
ORTHOMCL10853	Q13308	PTK7_HUMAN	PTK7	HUMAN	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
ORTHOMCL10867	O75116	ROCK2_HUMAN	ROCK2	HUMAN	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]
ORTHOMCL10880	Q14849	STAR3_HUMAN	STAR3	HUMAN	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]
ORTHOMCL10906	P51957	NEK4_HUMAN	NEK4	HUMAN	NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399]
ORTHOMCL10941	Q8WWI1	LMO7_HUMAN	LMO7	HUMAN	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]
ORTHOMCL10942	Q9BYM8	HOIL1_HUMAN	HOIL1	HUMAN	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]
ORTHOMCL10971	Q7Z769	S35E3_HUMAN	S35E3	HUMAN	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]
ORTHOMCL10982	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
