ortho	swissProt	name	egn	db	description
ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
ORTHOMCL10127	Q01804	OTUD4_HUMAN	OTUD4	HUMAN	OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
ORTHOMCL10170	A6NMZ7	CO6A6_HUMAN	CO6A6	HUMAN	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]
ORTHOMCL10206	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
ORTHOMCL10227	P16591	FER_HUMAN	FER	HUMAN	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]
ORTHOMCL10277	Q86VQ0	LCA5_HUMAN	LCA5	HUMAN	LCA5, lebercilin [Source:HGNC Symbol;Acc:HGNC:31923]
ORTHOMCL10302	Q9UDY8	MALT1_HUMAN	MALT1	HUMAN	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]
ORTHOMCL10306	Q5TFE4	NT5D1_HUMAN	NT5D1	HUMAN	5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
ORTHOMCL10346	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10350	O00267	SPT5H_HUMAN	SPT5H	HUMAN	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]
ORTHOMCL10382	Q13523	PRP4B_HUMAN	PRP4B	HUMAN	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]
ORTHOMCL10394	O60244	MED14_HUMAN	MED14	HUMAN	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]
ORTHOMCL10447	Q9BV38	WDR18_HUMAN	WDR18	HUMAN	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]
ORTHOMCL10481	Q13490	BIRC2_HUMAN	BIRC2	HUMAN	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]
ORTHOMCL10482	Q16629	SRSF7_HUMAN	SRSF7	HUMAN	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]
ORTHOMCL10487	Q14517	FAT1_HUMAN	FAT1	HUMAN	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]
ORTHOMCL10496	Q8N5H7	SH2D3_HUMAN	SH2D3	HUMAN	SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884]
ORTHOMCL10517	Q5VV67	PPRC1_HUMAN	PPRC1	HUMAN	peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
ORTHOMCL10530	P46013	KI67_HUMAN	KI67	HUMAN	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
ORTHOMCL10554	O15084	ANR28_HUMAN	ANR28	HUMAN	ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024]
ORTHOMCL10561	Q58F21	BRDT_HUMAN	BRDT	HUMAN	bromodomain testis associated [Source:HGNC Symbol;Acc:HGNC:1105]
ORTHOMCL10618	Q15022	SUZ12_HUMAN	SUZ12	HUMAN	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]
ORTHOMCL10628	Q96EP0	RNF31_HUMAN	RNF31	HUMAN	ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]
ORTHOMCL10631	O94851	MICA2_HUMAN	MICA2	HUMAN	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]
ORTHOMCL10737	Q9UBK8	MTRR_HUMAN	MTRR	HUMAN	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]
ORTHOMCL10777	Q9BXY5	CAYP2_HUMAN	CAYP2	HUMAN	calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]
ORTHOMCL10795	Q71F56	MD13L_HUMAN	MD13L	HUMAN	mediator complex subunit 13 like [Source:HGNC Symbol;Acc:HGNC:22962]
ORTHOMCL10820	O94913	PCF11_HUMAN	PCF11	HUMAN	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]
ORTHOMCL10829	P10244	MYBB_HUMAN	MYBB	HUMAN	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]
ORTHOMCL10871	O15394	NCAM2_HUMAN	NCAM2	HUMAN	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]
ORTHOMCL10894	Q96MG7	NSE3_HUMAN	NSE3	HUMAN	NSE3 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:7677]
ORTHOMCL10896	Q5VWG9	TAF3_HUMAN	TAF3	HUMAN	TATA-box binding protein associated factor 3 [Source:HGNC Symbol;Acc:HGNC:17303]
ORTHOMCL10899	P0C870	JMJD7_HUMAN	JMJD7	HUMAN	jumonji domain containing 7 [Source:HGNC Symbol;Acc:HGNC:34397]
ORTHOMCL10906	P51957	NEK4_HUMAN	NEK4	HUMAN	NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399]
ORTHOMCL10908	Q9BY12	SCAPE_HUMAN	SCAPE	HUMAN	S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081]
ORTHOMCL10911	Q99707	METH_HUMAN	METH	HUMAN	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]
ORTHOMCL10913	Q9HCS5	E41LA_HUMAN	E41LA	HUMAN	erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278]
ORTHOMCL10941	Q8WWI1	LMO7_HUMAN	LMO7	HUMAN	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]
ORTHOMCL10982	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL11018	Q12950	FOXD4_HUMAN	FOXD4	HUMAN	forkhead box D4 [Source:HGNC Symbol;Acc:HGNC:3805]
