ortho	swissProt	name	egn	db	description
1	ORTHOMCL10005	Q9C0D7	ZC12C_HUMAN	ZC12C	HUMAN	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]
2	ORTHOMCL10069	Q969N2	PIGT_HUMAN	PIGT	HUMAN	phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]
3	ORTHOMCL10070	Q96LL4	CH048_HUMAN	CH048	HUMAN	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
4	ORTHOMCL10124	Q8N3Z3	GTPB8_HUMAN	GTPB8	HUMAN	GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
5	ORTHOMCL10127	Q01804	OTUD4_HUMAN	OTUD4	HUMAN	OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
6	ORTHOMCL10170	A6NMZ7	CO6A6_HUMAN	CO6A6	HUMAN	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]
7	ORTHOMCL10206	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
8	ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
9	ORTHOMCL10214	Q8TD22	SFXN5_HUMAN	SFXN5	HUMAN	sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]
10	ORTHOMCL10219	Q5NDL2	EOGT_HUMAN	EOGT	HUMAN	EGF domain specific O-linked N-acetylglucosamine transferase [Source:HGNC Symbol;Acc:HGNC:28526]
11	ORTHOMCL10227	P16591	FER_HUMAN	FER	HUMAN	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]
12	ORTHOMCL10242	P22607	FGFR3_HUMAN	FGFR3	HUMAN	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]
13	ORTHOMCL10256	Q13206	DDX10_HUMAN	DDX10	HUMAN	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]
14	ORTHOMCL10273	Q14678	KANK1_HUMAN	KANK1	HUMAN	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]
15	ORTHOMCL10277	Q86VQ0	LCA5_HUMAN	LCA5	HUMAN	LCA5, lebercilin [Source:HGNC Symbol;Acc:HGNC:31923]
16	ORTHOMCL10302	Q9UDY8	MALT1_HUMAN	MALT1	HUMAN	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]
17	ORTHOMCL10304	Q9C0C9	UBE2O_HUMAN	UBE2O	HUMAN	ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554]
18	ORTHOMCL10306	Q5TFE4	NT5D1_HUMAN	NT5D1	HUMAN	5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
19	ORTHOMCL10308	Q5T5J6	SWT1_HUMAN	SWT1	HUMAN	SWT1, RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:HGNC:16785]
20	ORTHOMCL10329	Q9Y283	INVS_HUMAN	INVS	HUMAN	inversin [Source:HGNC Symbol;Acc:HGNC:17870]
21	ORTHOMCL10330	P48553	TPC10_HUMAN	TPC10	HUMAN	trafficking protein particle complex 10 [Source:HGNC Symbol;Acc:HGNC:11868]
22	ORTHOMCL10346	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
23	ORTHOMCL10350	O00267	SPT5H_HUMAN	SPT5H	HUMAN	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]
24	ORTHOMCL10357	P42680	TEC_HUMAN	TEC	HUMAN	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]
25	ORTHOMCL10359	Q92685	ALG3_HUMAN	ALG3	HUMAN	ALG3, alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]
26	ORTHOMCL10362	Q9NWZ8	GEMI8_HUMAN	GEMI8	HUMAN	gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]
27	ORTHOMCL10364	Q13823	NOG2_HUMAN	NOG2	HUMAN	G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]
28	ORTHOMCL10371	O95486	SC24A_HUMAN	SC24A	HUMAN	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]
29	ORTHOMCL10376	Q8NBJ9	SIDT2_HUMAN	SIDT2	HUMAN	SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]
30	ORTHOMCL10382	Q13523	PRP4B_HUMAN	PRP4B	HUMAN	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]
31	ORTHOMCL10392	P50851	LRBA_HUMAN	LRBA	HUMAN	LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]
32	ORTHOMCL10393	Q155Q3	DIXC1_HUMAN	DIXC1	HUMAN	DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]
