gene,score
1,-3
2,-3
3,-3
4,-3
5,-1
7,-1
9,-5
10,-2
11,1
12,0
13,-1
15,0
16,1
17,-1
19,-4
20,-2
22,-1
24,-2
25,1
26,-5
27,-1
28,-1
31,-6
32,-2
37,2
38,-6
41,0
42,0
43,-3
44,0
45,0
46,-1
47,-3
49,-2
50,0
52,0
53,-1
54,1
55,1
57,2
58,0
60,0
61,2
62,-3
63,-5
64,-7
65,0
66,0
67,0
68,-8
69,-3
70,-1
71,-1
73,-1
75,-1
76,-1
79,-5
80,0
81,-1
83,-4
85,5
86,-4
87,-2
89,-2
90,-2
91,0
92,-1
94,0
95,-1
96,-3
97,1
98,-1
99,0
101,1
102,-1
104,-2
106,0
107,-1
108,-5
109,-4
110,1
111,0
112,-1
113,-4
114,-2
115,11
116,-2
117,-1
119,-1
120,0
121,1
122,-4
123,0
124,-1
125,-3
126,0
127,0
128,-2
129,-3
130,0
131,-1
132,-1
134,-6
136,33
137,0
138,-1
139,0
140,-8
141,0
142,-10
143,-1
145,0
147,0
148,4
152,-1
153,-6
155,3
156,-2
157,-5
158,1
159,-6
161,-3
162,-4
163,0
164,0
165,-1
166,4
167,2
168,-2
169,-1
170,0
171,0
172,-1
173,-2
174,0
175,-2
176,-7
178,0
179,-7
180,5
181,0
183,2
185,0
186,1
187,0
189,0
191,-1
192,0
193,0
194,4
195,-4
196,-4
197,-2
198,0
199,-1
200,0
201,0
202,-5
203,0
204,-6
206,-2
207,-2
209,-1
210,-2
211,0
212,-4
213,1
214,-2
215,1
216,0
217,-1
218,0
219,-1
220,0
222,0
224,-1
225,-12
226,-2
227,1
228,1
229,-2
230,0
231,0
233,-1
234,2
235,2
236,0
237,-17
238,-1
240,1
244,0
246,0
247,-2
248,-1
249,0
250,-3
251,-1
252,1
253,2
256,-5
257,9
258,0
259,-2
261,2
262,1
263,-1
264,-2
265,-4
266,1
267,-2
268,-1
269,-1
271,1
272,-1
273,-1
275,-2
276,-4
278,-2
279,0
280,-1
282,0
283,0
284,0
285,0
286,-1
287,4
289,1
291,-9
292,-5
293,0
294,-4
295,-2
298,-2
299,0
300,0
301,0
302,2
303,0
304,-5
305,0
306,1
307,-1
308,-1
309,0
310,0
311,0
312,0
314,-2
315,0
316,-2
317,-2
318,-1
319,-4
320,0
321,0
322,-3
324,0
326,-2
327,3
328,0
329,-2
330,-5
331,-8
332,-3
333,0
334,-6
335,-1
336,0
337,-5
338,1
339,-3
340,-3
341,-1
342,-1
343,-4
344,-1
346,0
347,0
348,-3
349,-6
350,0
352,-1
354,-1
355,-1
356,0
357,0
360,-1
363,0
364,-17
366,0
367,-22
368,-9
369,-3
370,-1
374,-4
376,-2
377,-4
378,0
379,-2
380,-9
381,2
382,-1
383,-1
385,-1
387,0
388,-2
389,-10
391,2
392,1
393,0
394,-6
395,2
396,-1
397,-1
398,-3
399,0
400,-1
401,-6
402,0
403,0
404,-3
406,-6
407,-1
408,0
409,-1
410,0
411,0
413,-4
414,1
415,-2
416,-4
417,-1
418,0
419,0
420,-4
421,-1
423,0
424,-1
427,-6
429,-4
430,-2
431,-4
432,-2
433,0
434,-6
435,-4
439,0
440,-7
441,0
442,1
443,-5
445,-8
446,0
447,-2
448,2
449,0
450,-2
452,-3
454,0
455,0
456,-16
457,12
458,-8
459,-2
460,-7
461,1
462,0
463,-1
464,1
465,-3
466,-8
467,0
468,-17
469,-7
470,-1
471,-7
472,-1
473,1
474,0
475,1
476,0
477,-1
479,-8
480,0
481,-2
482,-4
483,-1
484,-6
485,-2
486,0
487,0
489,0
490,-1
491,-5
492,0
493,0
497,0
498,0
499,-13
500,3
501,1
503,-6
504,-2
506,-1
507,0
508,0
509,-9
510,-22
511,-8
512,-1
514,-1
515,0
517,2
518,-3
519,-2
520,0
521,2
522,-1
523,-3
525,0
526,-5
527,-6
528,0
530,-4
531,0
532,-5
533,0
534,-5
535,-2
537,-1
539,-2
540,0
541,0
543,-3
544,-1
545,-4
546,-1
547,-2
548,3
549,-4
551,1
552,0
554,0
555,-2
558,-1
559,0
561,1
562,-5
564,2
565,0
566,-4
567,0
568,0
569,-1
570,-2
571,0
572,0
573,0
574,-3
575,0
576,1
577,-2
578,1
579,-5
580,1
581,-2
582,-1
583,-2
584,-4
585,-4
587,1
588,1
589,-1
590,-5
592,-1
594,-2
595,0
597,0
598,-1
599,1
600,-3
601,0
602,0
603,-1
604,0
605,0
606,-1
607,1
608,-2
609,1
610,1
611,-3
612,0
613,-6
617,-1
619,-1
620,0
622,-2
623,2
624,-1
625,0
627,-1
631,-3
635,-2
636,-2
637,-1
638,1
640,-1
641,0
643,2
644,0
647,0
648,2
649,0
650,0
651,-2
652,2
653,-5
654,-2
655,-6
656,0
657,-1
658,1
659,-1
660,-5
661,-3
662,0
664,-1
666,-1
668,-7
670,0
671,2
672,1
673,-2
674,0
675,0
676,-2
677,1
678,-5
