ortho	swissProt	name	egn	db	description
1	ORTHOMCL10170	A6NMZ7	CO6A6_HUMAN	CO6A6	HUMAN	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]
2	ORTHOMCL10212	Q8WY21	SORC1_HUMAN	SORC1	HUMAN	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]
3	ORTHOMCL10217	Q4ADV7	RIC1_HUMAN	RIC1	HUMAN	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]
4	ORTHOMCL10273	Q14678	KANK1_HUMAN	KANK1	HUMAN	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]
5	ORTHOMCL10346	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
6	ORTHOMCL10357	P42680	TEC_HUMAN	TEC	HUMAN	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]
7	ORTHOMCL10364	Q13823	NOG2_HUMAN	NOG2	HUMAN	G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]
8	ORTHOMCL10371	O95486	SC24A_HUMAN	SC24A	HUMAN	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]
9	ORTHOMCL10383	Q8IYE1	CCD13_HUMAN	CCD13	HUMAN	coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]
10	ORTHOMCL10410	O60293	ZC3H1_HUMAN	ZC3H1	HUMAN	zinc finger C3H1-type containing [Source:HGNC Symbol;Acc:HGNC:28328]
11	ORTHOMCL10425	Q96KR1	ZFR_HUMAN	ZFR	HUMAN	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]
12	ORTHOMCL10447	Q9BV38	WDR18_HUMAN	WDR18	HUMAN	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]
13	ORTHOMCL10481	Q13490	BIRC2_HUMAN	BIRC2	HUMAN	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]
14	ORTHOMCL10482	Q16629	SRSF7_HUMAN	SRSF7	HUMAN	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]
15	ORTHOMCL10483	Q63HM2	PCX4_HUMAN	PCX4	HUMAN	pecanex homolog 4 [Source:HGNC Symbol;Acc:HGNC:20349]
16	ORTHOMCL10492	Q9H857	NT5D2_HUMAN	NT5D2	HUMAN	5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]
17	ORTHOMCL10517	Q5VV67	PPRC1_HUMAN	PPRC1	HUMAN	peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
18	ORTHOMCL10533	P55197	AF10_HUMAN	AF10	HUMAN	MLLT10, histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]
19	ORTHOMCL10566	Q9BV94	EDEM2_HUMAN	EDEM2	HUMAN	ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]
20	ORTHOMCL10584	P20749	BCL3_HUMAN	BCL3	HUMAN	B cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]
21	ORTHOMCL10628	Q96EP0	RNF31_HUMAN	RNF31	HUMAN	ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]
22	ORTHOMCL10716	Q9UBS9	SUCO_HUMAN	SUCO	HUMAN	SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]
23	ORTHOMCL10722	P55265	DSRAD_HUMAN	DSRAD	HUMAN	adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]
24	ORTHOMCL10735	Q5T2S8	ARMC4_HUMAN	ARMC4	HUMAN	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]
25	ORTHOMCL10780	Q9P2F6	RHG20_HUMAN	RHG20	HUMAN	Rho GTPase activating protein 20 [Source:HGNC Symbol;Acc:HGNC:18357]
26	ORTHOMCL10812	O60312	AT10A_HUMAN	AT10A	HUMAN	ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]
27	ORTHOMCL10818	P37198	NUP62_HUMAN	NUP62	HUMAN	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]
28	ORTHOMCL10820	O94913	PCF11_HUMAN	PCF11	HUMAN	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]
